ubigeo,iddpto,idprov,n_facilities_total,n_emergency_active,n_emergency_structural,camas_total,n_public,n_private,n_ccpp_baseline,dist_median_m_baseline,dist_median_m_alternative,pct_ccpp_gt5km_baseline,pct_ccpp_gt20km_baseline,pct_ccpp_gt5km_alternative,pct_ccpp_gt20km_alternative,susalud_latest_year,susalud_atenciones,susalud_atendidos,facility_density_baseline,activity_per_ccpp_baseline,comp_facility_baseline,comp_activity_baseline,comp_access_baseline,hadi_baseline,hadi_quintile_baseline,facility_density_alternative,activity_per_ccpp_alternative,comp_facility_alternative,comp_activity_alternative,comp_access_alternative,hadi_alternative,hadi_quintile_alternative,quintile_shift,classification_change
040206,04,0402,3,1,1,0,3,0,32.0,5926.0,5926.0,59.38,12.5,59.38,12.5,2018.0,0,0,3.125,0.0,0.33975387907972177,0.695024077046549,0.7225789192081327,0.5858,Q3,3.125,0.0,0.17897271268057785,0.695024077046549,0.7691278758694489,0.5477,Q3,0,same
110505,11,1105,2,0,1,0,2,0,27.0,15305.0,10899.0,100.0,22.22,81.48,22.22,,0,0,0.0,0.0,0.777956126270733,0.695024077046549,0.7562867843766721,0.7431,Q4,3.7037037037037033,0.0,0.15248796147672553,0.695024077046549,0.8191546281433922,0.5556,Q3,-1,improved 1
230201,23,2302,4,2,1,0,4,0,148.0,23059.0,28316.0,79.73,57.43,88.51,60.14,2020.0,17,16,1.3513513513513513,0.11486486486486487,0.4652220438737293,0.33814874264312467,0.8443017656500803,0.5492,Q3,0.6756756756756757,0.11486486486486487,0.5056179775280899,0.33814874264312467,0.9197431781701445,0.5878,Q3,0,same
040603,04,0406,2,2,0,0,2,0,215.0,10789.0,29224.0,85.58,20.0,100.0,83.26,2018.0,0,0,0.9302325581395349,0.0,0.5024077046548957,0.695024077046549,0.7482611021936865,0.6486,Q4,0.0,0.0,0.7835741037988229,0.695024077046549,0.951310861423221,0.81,Q5 (Worst),1,worsened 1
211209,21,2112,7,1,2,0,7,0,85.0,10908.0,10763.0,80.0,23.53,69.41,23.53,2018.0,0,0,1.1764705882352942,0.0,0.47859818084537187,0.695024077046549,0.7605671482075976,0.6447,Q4,2.3529411764705883,0.0,0.24665596575708934,0.695024077046549,0.826645264847512,0.5894,Q3,-1,improved 1
100507,10,1005,8,1,3,0,8,0,116.0,14308.0,6233.0,98.28,16.38,62.07,2.59,,0,0,0.8620689655172413,0.0,0.5112359550561798,0.695024077046549,0.7351524879614767,0.6471,Q4,2.586206896551724,0.0,0.2236490101658641,0.695024077046549,0.6987693953986088,0.5391,Q3,-1,improved 1
110104,11,1101,4,4,1,0,4,0,37.0,1834.0,4274.0,16.22,13.51,43.24,16.22,2018.0,0,0,10.81081081081081,0.0,0.1043338683788122,0.695024077046549,0.7263242375601926,0.5086,Q3,2.7027027027027026,0.0,0.21562332798287853,0.695024077046549,0.7907972177635099,0.5671,Q3,0,same
050701,05,0507,9,2,1,50,9,0,378.0,12388.0,24230.0,78.31,16.4,80.42,58.99,2026.0,961,668,0.5291005291005291,2.5423280423280423,0.5371856607811664,0.20759764579989298,0.7356875334403424,0.4935,Q3,0.26455026455026454,2.5423280423280423,0.5580524344569289,0.20759764579989298,0.9170679507758159,0.5609,Q3,0,same
040306,04,0403,3,3,0,0,3,0,29.0,5386.0,23435.0,51.72,0.0,100.0,65.52,2018.0,0,0,10.344827586206897,0.0,0.10995184590690209,0.695024077046549,0.3175494917067951,0.3742,Q2,0.0,0.0,0.7835741037988229,0.695024077046549,0.9307116104868914,0.8031,Q5 (Worst),3,worsened 3
220402,22,2204,4,3,0,0,4,0,27.0,1932.0,18180.0,33.33,0.0,100.0,33.33,2026.0,196,191,11.11111111111111,7.2592592592592595,0.10005350454788657,0.16746923488496523,0.3175494917067951,0.195,Q1 (Best),0.0,7.2592592592592595,0.7835741037988229,0.16746923488496523,0.8579454253611557,0.603,Q4,3,worsened 3
050301,05,0503,1,1,1,0,1,0,237.0,23725.0,23671.0,89.03,61.18,89.03,61.18,2025.0,284,275,0.42194092827004215,1.1983122362869199,0.5425361155698234,0.23274478330658105,0.8523274478330658,0.5425,Q3,0.42194092827004215,1.1983122362869199,0.5441412520064205,0.23274478330658105,0.9218833600856072,0.5663,Q3,0,same
060906,06,0609,14,14,5,0,14,0,95.0,3686.0,5127.0,24.21,0.0,53.68,0.0,2021.0,64,64,14.736842105263156,0.6736842105263158,0.0738362760834671,0.2541466024612092,0.3175494917067951,0.2152,Q2,5.263157894736842,0.6736842105263158,0.11476725521669343,0.2541466024612092,0.3373461744248261,0.2354,Q2,0,same
080908,08,0809,3,0,1,0,3,0,159.0,18991.0,12435.0,100.0,37.11,88.68,16.98,,0,0,0.0,0.0,0.777956126270733,0.695024077046549,0.7966827180310326,0.7566,Q4,0.628930817610063,0.0,0.5160513643659711,0.695024077046549,0.7950775815944355,0.6687,Q4,0,same
